xi,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,c2,omega,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.051282051,0.160151867,5.565512671,4.895772353,2.282501641,3.866703491,4.45739338,5.562471829,7.920433859,0.914044639,0.249432882,87.45738264,45.00923755,1.168432791,0.838086745,0.479618782,0.663056226,0.378868139,19.03447422,2.137911893,0.12059981,5.28E-08,1.01E-07,0.09443738,0.3861431,0.193336932,0.106532613,5.98E-08,1.17E-07,0.098949833,0.623557925,0.430594252,0.464385072,-2392.207854,0.552285818
0.051282051,0.150042253,3.263356547,3.310327352,1.268981003,3.231453276,2.37440608,5.454841961,2.323161457,0.835010668,0.114595073,15.40730876,4.970747094,2.379571622,2.496566139,0.385299265,8.160811733,0.632654582,7.138386174,22.27930556,0.209065778,8.58E-08,7.30E-08,0.217821779,0.25927048,0.146012126,0.109321372,6.91E-08,7.45E-08,0.058508163,0.561633853,0.41428021,0.606077844,-2401.388105,1.442290171
0.051282051,0.070119965,5.042668374,3.730654907,3.13235047,3.554755595,4.095770225,4.278171326,0.573883676,0.877472626,0.094505428,23.14676364,78.50212915,7.91974442,12.64581126,0.710764154,2.004490642,0.287050774,9.91099427,0.17320396,0.102242537,9.64E-08,5.16E-08,0.190486239,0.320382599,0.153981851,0.161380128,4.75E-08,9.90E-08,0.071526352,0.46998855,0.398069208,0.324437585,-2400.506395,7.128506602
0.051282051,0.091839707,4.315559462,3.839405341,2.778372151,3.526353031,3.639403815,5.116475909,78.66747631,0.884062891,0.101639695,98.089043,50.87432729,2.016416112,1.956810434,0.704737005,1.387481702,0.349464082,2.018330396,3.751356394,0.09107708,6.25E-08,7.62E-08,0.161570293,0.428684834,0.155198372,0.109708881,5.78E-08,7.60E-08,0.053760268,0.304809405,0.515289431,0.323783639,-2336.591598,2.658252534
0.051282051,0.079572636,4.788015475,2.949003403,2.464278057,3.111680469,3.282785812,4.499155199,26.56016503,0.854777908,0.124782829,16.49525578,112.1899932,0.934187601,1.956547125,0.342657863,1.241556716,0.326050653,0.778805126,0.701107626,0.117685166,1.11E-07,6.84E-08,0.139071395,0.413549106,0.167368929,0.113463422,7.00E-08,1.07E-07,0.048861626,0.366992518,0.513621536,0.311032477,-2350.116734,9.081987141
0.051282051,0.094766662,4.024599048,2.422816429,1.942879366,1.81970979,3.117713058,4.194241747,0.999833766,0.821249282,0.141323137,103.5207038,101.0164511,5.772777153,7.608736098,0.728509492,1.868765134,0.522946693,4.793074624,4.636053009,0.161575405,4.64E-08,6.62E-08,0.112358899,0.443983614,0.136861196,0.089188821,6.55E-08,8.74E-08,0.056031799,0.327763044,0.500823063,0.420975352,-2366.435185,1.731729171
0.051282051,0.119908514,4.986596789,2.409312679,1.936781136,2.096303353,4.221340285,3.269129211,1.651238888,0.829139912,0.068968772,144.9774206,6.305513278,5.649805571,1.692850545,0.579205759,0.415922539,0.869739091,2.115394647,0.76881006,0.071913132,1.13E-07,3.80E-08,0.223702601,0.371330888,0.130527659,0.14086516,4.57E-08,6.85E-08,0.061660295,0.222816604,0.360406578,0.272581971,-2370.363792,12.19423243
0.051282051,0.11184078,4.162652586,3.758430196,2.633603303,3.008132732,3.505285991,4.878067403,1.103496212,0.877108238,0.081706064,359.7288008,28.13533645,5.698974989,2.893309793,1.022520125,3.709354686,0.726090175,0.667676507,0.151474425,0.102838117,8.89E-08,6.43E-08,0.176477281,0.381427289,0.146074581,0.130534684,4.30E-08,9.45E-08,0.062647757,0.39805493,0.491482021,0.591435258,-2437.170394,4.620495615
0.051282051,0.122171001,4.594937363,2.006793837,1.681541441,1.261076075,2.793096242,2.76638667,4.019957842,0.764745214,0.057598905,607.6859242,92.21383209,4.407922227,3.014665072,0.537289901,2.84880172,1.16568493,14.50333408,0.5961581,0.258023396,5.17E-08,5.18E-08,0.164848716,0.28901053,0.111867826,0.091740543,7.16E-08,8.92E-08,0.084508724,0.34155847,0.437884957,0.310938708,-2413.013802,7.732509268
0.051282051,0.111323832,4.190401783,3.478330811,1.21322193,3.113573685,2.683924005,4.188532629,0.592008974,0.794874167,0.129802217,18.41589782,163.753576,9.178068037,21.30802963,0.093190386,2.64480326,0.448634585,6.875539108,6.082058558,0.182662951,6.99E-08,4.29E-08,0.112857298,0.345571715,0.146227832,0.124614973,8.16E-08,8.49E-08,0.088064952,0.327277009,0.631846115,0.290599559,-2378.197347,6.386324368
