c1,c2,sum.H1N,sum.H3N
0.65,0.95,11.1271836,7.28707055
0.65,1,11.1271533,7.3472978
0.7,0,10.3763038,5.3084265
0.7,0.05,10.3354198,5.2918701
0.7,0.1,10.41117465,5.49076265
0.7,0.15,10.6570345,5.63751525
0.7,0.2,10.55304685,5.6617084
0.7,0.25,10.834458,5.93542305
0.7,0.3,10.78015115,6.0420159
0.7,0.35,10.7668237,5.99019585
0.7,0.4,10.96608255,6.20496175
0.7,0.45,10.9893008,6.39636855
0.7,0.5,11.09104275,6.51885795
0.7,0.55,11.26314325,6.5900965
0.7,0.6,11.11928865,6.66277995
0.7,0.65,11.101671,6.78839525
0.7,0.7,11.18857505,6.96577365
0.7,0.75,11.2397975,7.0579056
0.7,0.8,11.28092895,7.16170575
0.7,0.85,11.3653017,7.1914876
0.7,0.9,11.50288465,7.49909455
0.7,0.95,11.63937145,7.5023086
0.7,1,11.63986555,7.7179788
0.75,0,10.6447138,5.48022265
0.75,0.05,10.66890615,5.58710675
0.75,0.1,10.67146575,5.7202676
0.75,0.15,10.9142833,5.8231976
0.75,0.2,10.9012383,5.81580805
0.75,0.25,10.9726141,5.9901847
0.75,0.3,11.15229975,6.12810775
0.75,0.35,11.13811345,6.28814825
0.75,0.4,11.19588115,6.38476655
0.75,0.45,11.24379845,6.52820495
0.75,0.5,11.30800765,6.63885795
0.75,0.55,11.31331195,6.68357585
0.75,0.6,11.60078775,6.81818965
0.75,0.65,11.4307651,7.0485593
0.75,0.7,11.5879185,7.1081263
0.75,0.75,11.6432559,7.31046905
0.75,0.8,11.7251921,7.33721335
0.75,0.85,11.6324204,7.4432188
0.75,0.9,11.64437055,7.49614005
0.75,0.95,11.96789925,7.74175445
0.75,1,12.00781165,7.77568595
0.8,0,11.1249718,5.61490765
0.8,0.05,11.0211768,5.73051255
0.8,0.1,11.2691718,5.87312145
0.8,0.15,11.15109255,5.96769055
0.8,0.2,11.23484565,6.17327355
0.8,0.25,11.55108355,6.2087805
0.8,0.3,11.38546025,6.30704155
0.8,0.35,11.4726092,6.39732265
0.8,0.4,11.45374435,6.489713
0.8,0.45,11.48336355,6.6575382
0.8,0.5,11.6752484,6.7409785
0.8,0.55,11.7557173,6.95914885
0.8,0.6,11.7757287,7.0176163
0.8,0.65,11.85419825,7.2510865
0.8,0.7,11.8547764,7.33761905
0.8,0.75,11.9885971,7.39414875
0.8,0.8,12.12233245,7.62107255
0.8,0.85,12.0689285,7.72846285
0.8,0.9,12.0652844,7.81957345
0.8,0.95,12.3688341,7.92181545
0.8,1,12.25484685,8.0531376
0.85,0,11.13723815,5.6827904
0.85,0.05,11.51230665,5.92275665
0.85,0.1,11.41083645,5.95374435
0.85,0.15,11.38244625,6.12711435
0.85,0.2,11.55835655,6.2322335
0.85,0.25,11.70898715,6.3074641
0.85,0.3,11.71213815,6.435451
0.85,0.35,11.6815153,6.5889277
0.85,0.4,11.7356758,6.7848611
0.85,0.45,11.80732785,6.79025025
0.85,0.5,11.9653937,6.94066495
0.85,0.55,12.07630075,7.1705524
0.85,0.6,12.19738465,7.1901797
0.85,0.65,12.20766005,7.32187115
0.85,0.7,12.1595807,7.3591253
0.85,0.75,12.3462762,7.61405
0.85,0.8,12.34657535,7.5746214
0.85,0.85,12.21949535,7.73309865
0.85,0.9,12.45153365,7.99005965
0.85,0.95,12.51337055,8.1506743
0.85,1,12.6479598,8.2566218
0.9,0,11.513812,5.94916095
0.9,0.05,11.5708443,6.0427379
0.9,0.1,11.6131633,6.06346115
0.9,0.15,11.67633785,6.3573862
0.9,0.2,11.890837,6.2905225
0.9,0.25,11.8326284,6.56336665
0.9,0.3,11.88408885,6.5703559
0.9,0.35,12.10493265,6.74584515
0.9,0.4,12.0932029,6.8862246
0.9,0.45,12.0389022,6.89802705
0.9,0.5,12.29567265,7.0982397
0.9,0.55,12.3944713,7.17808585
0.9,0.6,12.28877135,7.35543685
0.9,0.65,12.3370142,7.48969505
0.9,0.7,12.456788,7.6053707
0.9,0.75,12.3848503,7.6610545
0.9,0.8,12.5179384,7.88221215
0.9,0.85,12.6738248,7.94792155
0.9,0.9,12.831912,8.105666
0.9,0.95,12.7230602,8.22440775
0.9,1,12.88406525,8.27309725
0.95,0,11.8538859,6.0876625
0.95,0.05,11.5624752,6.1360804
0.95,0.1,11.95872705,6.2640525
0.95,0.15,11.93967895,6.35739665
0.95,0.2,12.09172165,6.53037905
0.95,0.25,12.0659135,6.4876296
0.95,0.3,12.28647195,6.62048135
0.95,0.35,12.21176675,6.7728177
0.95,0.4,12.38125335,7.0027053
0.95,0.45,12.43052705,7.20650405
0.95,0.5,12.49926955,7.26315065
0.95,0.55,12.5565151,7.2097843
0.95,0.6,12.42434475,7.3236505
0.95,0.65,12.694675,7.6764171
0.95,0.7,12.90376275,7.7243618
0.95,0.75,12.66176535,7.829003
0.95,0.8,12.90239625,7.93863785
0.95,0.85,12.9627099,8.17664805
0.95,0.9,12.99891145,8.26798975
0.95,0.95,12.98013915,8.33525235
0.95,1,13.15248645,8.38947765
1,0,11.80771925,6.06158215
1,0.05,12.04247145,6.22229875
1,0.1,12.1105451,6.46373
1,0.15,12.1748185,6.4479519
1,0.2,12.2680591,6.5264815
1,0.25,12.3497564,6.68518465
1,0.3,12.3460116,6.8878121
1,0.35,12.53125045,6.87327755
1,0.4,12.68117555,7.0374771
1,0.45,12.64100195,7.1260833
1,0.5,12.65392855,7.2443482
1,0.55,12.5725679,7.42421585
1,0.6,12.8206838,7.66461865
1,0.65,12.95647615,7.7252207
1,0.7,12.89232815,7.8840425
1,0.75,13.0028176,7.89093065
1,0.8,13.00757915,7.99681055
1,0.85,13.2005033,8.28297155
1,0.9,13.24837685,8.43274015
1,0.95,13.3047152,8.4230212
1,1,13.39790585,8.6616788
