alpha,sigma,b1,b2,b3,b4,b5,b6,theta,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.5,0.156624555,5.262095176,2.78162785,0.464794769,0.810912562,1.095674991,1.703314544,0.645968543,0.14402931,3.978511911,60.69780184,5.482352632,16.04766918,0.088193704,7.322887471,0.436985166,0.044809288,0.888906963,4.032597533,0.17469213,8.34E-08,9.53E-08,0.145426363,0.326170542,0.165878917,0.128889824,8.31E-08,8.48E-08,0.058941877,0.11560435,0.66531376,0.442517366,-2413.259135,0.882344726
0.5,0.152766819,4.739961986,1.93311628,0.522402127,0.415887467,0.965486283,2.340642331,3.531141625,0.083387148,8.577208455,157.8386527,1.0541995,3.534381559,0.048559578,0.415354885,1.109669673,0.037255169,0.263577079,1.418312662,0.2193487,4.89E-08,3.11E-08,0.127047981,0.357048391,0.106355027,0.111710814,6.13E-08,8.83E-08,0.078488858,0.172805657,0.901154118,0.447219338,-2417.852567,0.350164729
0.5,0.122695099,5.012389351,2.785543094,0.56431132,1.062759061,1.544548619,2.629494149,1.193366192,0.074792249,182.5234553,120.6343474,8.051778726,9.10345024,0.115224142,0.909718585,1.014930924,0.076608555,18.72399015,5.571881368,0.153932319,6.88E-08,4.28E-08,0.10325029,0.456336199,0.139656626,0.1090688,5.45E-08,7.20E-08,0.037755528,0.158531688,0.71150975,0.406077839,-2441.454859,1.137492432
0.5,0.103275633,4.577216517,2.700731116,1.526861525,1.333987487,1.300410475,2.936420186,0.542610518,0.084952963,21.96272028,473.5054358,13.71048568,32.25823665,0.029721108,0.162921542,0.380981142,0.038123394,4.457132895,0.682452157,0.110492643,6.50E-08,6.60E-08,0.147671641,0.497630668,0.118038063,0.087876119,5.27E-08,7.86E-08,0.038290603,0.258445765,0.759609078,0.425613591,-2430.626315,0.265750557
0.5,0.108802024,5.101771685,1.536307306,0.597707109,1.097419912,1.373206333,2.044612889,1.929822402,0.026183522,68.56112675,124.7916889,4.488864864,5.641816644,0.198833977,0.947989472,2.608856382,0.395715632,59.70886606,1.281210692,0.129263913,8.47E-08,5.25E-08,0.080750042,0.495904199,0.145429061,0.106311076,7.02E-08,5.86E-08,0.042341442,0.190130198,0.604370874,0.36220733,-2435.498171,0.865529598
0.5,0.146011379,5.70790334,1.110536893,1.17443569,0.642304192,1.23767348,1.58435606,0.41874694,0.108656477,38.74265766,306.0500237,19.42361475,46.3337021,0.063243527,10.84992854,1.096156576,0.186426941,36.41916309,20.21012992,0.108986514,9.37E-08,9.29E-08,0.088469732,0.494382915,0.151695064,0.111278638,3.41E-08,7.70E-08,0.04518684,0.290459718,0.816685406,0.503803025,-2450.908348,7.237276668
0.5,0.124473345,4.215890654,2.954294653,0.950841013,1.074762924,0.957996329,2.665856441,1.167973089,0.164520584,7.034905112,391.3536315,2.124825666,8.443588945,0.033405577,0.371884112,0.47793891,0.056255129,1.948855716,45.49779429,0.18341762,6.62E-08,5.21E-08,0.06325829,0.467422471,0.150793111,0.094714052,4.28E-08,8.58E-08,0.040394208,0.19375966,0.705503724,0.60818935,-2420.823331,0.156758269
0.5,0.15827168,5.394623411,2.072390993,0.366579579,0.993726554,0.905148594,2.448134327,21.10867668,0.041632602,65.45675587,33.47527157,2.831945588,2.014033208,0.121978304,1.312983389,1.867195231,0.051560118,19.97563371,7.524383154,0.147968307,1.19E-07,5.87E-08,0.130078198,0.28931021,0.174526848,0.145189164,8.75E-08,1.06E-07,0.112926903,0.0895311,0.660780597,0.466767273,-2413.111425,0.921157616
0.5,0.111489125,4.866349885,2.288293509,0.192712196,0.462399586,0.987782769,1.905856382,1.26050363,0.143275044,23.09102995,103.9343244,3.746990567,6.458366446,0.681528535,0.110540772,0.660098173,0.130784548,6.670613677,10.34467122,0.1830474,4.06E-08,2.91E-08,0.153454461,0.403095505,0.116983379,0.078571416,3.99E-08,6.36E-08,0.064847665,0.266172064,0.664559033,0.594425595,-2423.277633,0.209734691
0.5,0.107914021,4.134186619,2.004791333,0.199719587,0.312707978,0.64939914,2.146458144,0.85220464,0.046051115,27.07192696,75.83806109,8.448212283,11.54107942,0.393959928,8.539000899,1.767500593,0.060116943,29.11184049,24.24884856,0.124801118,1.31E-07,7.06E-08,0.129261991,0.34160243,0.181955119,0.164369234,3.48E-08,1.26E-07,0.058009745,0.159941608,0.814953614,0.503934109,-2407.257639,1.191782391
0.5,0.109351858,5.062307951,2.25779319,1.082458666,0.437905623,1.377789639,1.934533926,0.905917809,0.09346625,16.21036772,116.0810336,7.322647408,11.41577802,0.074411112,2.217167652,0.525730715,0.323533046,9.411983733,1.916426928,0.156412445,1.11E-07,5.80E-08,0.181812127,0.349390283,0.133514936,0.075115776,4.62E-08,9.51E-08,0.103754122,0.17040459,0.555695259,0.442548993,-2423.488082,0.407882535
0.5,0.126593683,4.424003566,3.160178537,0.809001971,1.060462591,0.9880551,2.404290856,0.483059303,0.343842394,37.80332467,285.6722298,13.69868844,29.80568506,0.893032252,4.007686768,0.183571099,0.041915138,10.36226578,3.286221236,0.143867766,6.41E-08,6.20E-08,0.146985051,0.398094193,0.132281123,0.105174068,8.58E-08,7.74E-08,0.073597511,0.214066444,0.893528108,0.518927825,-2473.026577,8.388353606
0.5,0.134530715,5.325787408,3.359491699,1.946614086,2.623455422,1.750139746,3.814469979,0.462400878,0.067036086,32.21425506,14.74634688,13.56658387,22.44901517,0.354873415,0.41902253,0.46422309,0.012070295,0.820155532,0.825752274,0.216723155,1.08E-07,6.33E-08,0.136072483,0.305977264,0.137675666,0.113438944,8.00E-08,7.77E-08,0.090112158,0.294413726,0.585504071,0.411052578,-2426.708243,0.687179026
0.5,0.159403371,4.632892757,3.771164259,0.987106113,3.864956591,0.641429076,4.258556367,1.544695013,0.08326206,8.280982831,213.1245465,0.821733968,6.420444709,0.006928665,2.32294077,0.390431905,0.113137792,7.374427339,2.201683478,0.092191737,9.27E-08,5.17E-08,0.191707104,0.238194485,0.258785168,0.124855794,1.06E-07,7.78E-08,0.094265383,0.801587715,0.663677237,0.422497096,-2436.221774,0.564995648
