D,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.027966102,0.080168136,4.620183037,4.435881951,3.822365898,4.719429605,4.368473207,5.432229795,0.489176721,0.952131976,22.00847607,99.48312112,7.578539423,15.10790796,0.045174171,1.505353348,1.032504721,0.355662978,5.485957468,3.266355776,0.18220743,6.86E-08,6.76E-08,0.214049938,0.346176448,0.11100893,0.093888288,3.94E-08,5.78E-08,0.052668732,0.750863368,0.532859939,0.629538291,-2395.158187,1.89014356
0.027966102,0.09034943,4.631868228,3.428466891,2.507431481,3.887854907,3.306127761,4.408283324,2.107752818,0.898801814,5.010520697,55.42757152,1.14159353,2.792207322,0.525767095,1.145697487,1.659092714,0.344654148,5.232014036,28.98267341,0.096070404,4.22E-08,4.40E-08,0.182689026,0.477684471,0.115080316,0.067469993,6.59E-08,7.80E-08,0.06100556,0.398841197,0.573249969,0.296422496,-2371.417835,0.532830427
0.027966102,0.117926208,4.968078243,3.435501455,3.037659695,3.358667046,4.532002311,4.663827449,2.225027394,0.886812507,47.31457464,123.3901474,1.625159721,2.265012567,0.137648658,2.125288847,2.342665158,0.035509658,0.940412285,4.260116769,0.156985602,1.07E-07,8.10E-08,0.184727087,0.286749757,0.186726515,0.104570155,5.06E-08,9.46E-08,0.08024055,0.389075401,0.745133651,0.274605949,-2380.561155,1.503510941
0.030508475,0.144008496,4.86932661,1.485898188,2.557582111,2.007248925,3.852188281,3.536783564,0.601708393,0.846382564,47.24226597,73.17686863,10.77189451,15.69075062,0.814479416,6.004670603,2.736932901,0.021098933,7.06250075,0.092735135,0.086462984,5.16E-08,8.96E-08,0.239844434,0.316744876,0.120751437,0.175911406,8.71E-08,7.17E-08,0.060284563,0.352112179,0.534506777,0.410498152,-2367.788917,8.089431908
0.030508475,0.12912093,5.957343397,1.749490253,2.72570294,1.324049794,3.590862099,3.419474925,0.870657223,0.786453575,66.75546889,35.48317449,8.186155853,8.137140041,0.47366273,0.268396126,2.181628361,0.018435828,13.31230799,3.10786126,0.13563661,8.46E-08,5.47E-08,0.098675086,0.528391748,0.109571339,0.092134811,7.25E-08,8.74E-08,0.035590107,0.296660811,0.405377545,0.486888571,-2387.437299,2.856651394
0.030508475,0.101919473,4.745444386,3.98909491,2.701724714,4.080028815,3.757209815,4.789813147,0.537192004,0.89416157,7.145987488,154.6714859,4.856802124,18.84613088,0.278464033,0.600670327,1.678560246,0.086682582,1.722265688,3.204086495,0.177984697,5.23E-08,3.97E-08,0.160425262,0.340934036,0.139442016,0.126175985,6.41E-08,5.83E-08,0.055037789,0.36271572,0.63929411,0.365562664,-2342.129419,1.825669056
0.030508475,0.112763007,4.694801934,3.181507441,2.20865251,2.97046031,4.256416967,3.908825287,0.497392936,0.91147613,14.99992777,34.20045662,8.733068891,16.54365248,0.561441193,2.311801436,2.240533278,0.247846755,1.267921778,1.050310496,0.254113076,8.02E-08,5.60E-08,0.176814588,0.279915657,0.1215736,0.090103705,6.30E-08,1.10E-07,0.077479065,0.373093322,0.528448178,0.455229106,-2353.246717,1.017666737
0.030508475,0.096332476,5.056944204,4.396783438,2.192582451,3.743534147,3.945994438,4.538846511,0.876205234,0.886554555,15.11278957,75.9562939,2.161259379,5.089250779,0.480039603,1.255120922,2.403525817,0.749367579,3.99975009,3.450669893,0.202299075,5.50E-08,6.73E-08,0.084140643,0.402229918,0.134823056,0.116273835,6.15E-08,8.06E-08,0.060233208,0.488471533,0.457083177,0.314063051,-2370.255525,4.786628209
0.033050847,0.075635646,4.721496932,4.028227129,3.323606104,4.679310891,4.132180025,5.655644614,1.637048419,0.908852148,70.49835711,246.5138939,6.209524101,6.594652903,0.660496022,2.723320597,0.951393664,0.086654999,0.999907759,0.928181199,0.222261046,4.38E-08,7.22E-08,0.153220548,0.343546975,0.130201693,0.092145766,3.22E-08,5.90E-08,0.058623765,0.968533132,0.473251055,0.389143038,-2367.498997,1.050243231
0.033050847,0.08378526,4.514623493,2.75206642,2.961967778,3.393120197,3.686740398,3.991447404,2.822289177,0.9125222,113.0152155,16.99210826,3.882398761,2.635773833,0.713416188,1.291348585,1.369221609,0.51385084,3.642455672,4.586759832,0.144247178,1.03E-07,6.11E-08,0.088437688,0.537127903,0.09434768,0.095742696,5.96E-08,5.00E-08,0.040096581,0.38261648,0.625081224,0.327355675,-2356.130095,0.695517203
0.033050847,0.160262376,5.842423722,1.863395338,3.807239044,2.044950302,5.512129843,3.709882322,7.550927442,0.829923068,52.18118311,147.2504738,2.966593813,2.969646771,0.497703431,2.493184609,1.29034662,0.008434915,1.534795667,1.241314726,0.148103647,8.70E-08,5.32E-08,0.082064656,0.485683655,0.164642961,0.072427627,6.79E-08,7.82E-08,0.047077167,0.667303897,0.353456477,0.421891097,-2377.680573,1.221278868
