"","c1","c2","loglik"
"264",0.358974358974359,0,-1603.7417481344
"265",0.41025641025641,0,-1603.76376551275
"266",0.41025641025641,0,-1604.52272036438
"267",0.41025641025641,0,-1602.45791852874
"268",0.461538461538462,0,-1605.24052371553
"269",0.461538461538462,0,-1605.70079486544
"270",0.461538461538462,0,-1605.40617606719
"271",0.512820512820513,0,-1606.59601173604
"272",0.512820512820513,0,-1606.24097193501
"273",0.512820512820513,0,-1606.38080611432
"274",0.564102564102564,0,-1608.6078759665
"275",0.564102564102564,0,-1608.48100931621
"276",0.564102564102564,0,-1608.32311557588
"277",0.615384615384615,0,-1611.01825843039
"278",0.615384615384615,0,-1610.24875656151
"279",0.615384615384615,0,-1610.00033301105
"280",0.666666666666667,0,-1613.36568704493
"281",0.666666666666667,0,-1612.90320149084
"282",0.666666666666667,0,-1614.07807054306
"283",0.717948717948718,0,-1616.29663990645
"284",0.717948717948718,0,-1615.2539487705
"285",0.717948717948718,0,-1617.13805385007
"286",0.769230769230769,0,-1617.22461947456
"287",0.769230769230769,0,-1618.62749841668
"288",0.769230769230769,0,-1618.73168653039
"289",0.82051282051282,0,-1621.560493408
"290",0.82051282051282,0,-1621.73609135003
"291",0.82051282051282,0,-1620.70533402297
"292",0.871794871794872,0,-1624.41981561556
"293",0.871794871794872,0,-1621.92876391006
"294",0.871794871794872,0,-1624.26408307472
"295",0.923076923076923,0,-1626.1304779079
"296",0.923076923076923,0,-1623.46244869963
"297",0.923076923076923,0,-1625.40046509863
"298",0.974358974358974,0,-1628.0983111577
"299",0.974358974358974,0,-1628.75248030509
"300",0.974358974358974,0,-1624.14985599908
"301",1.02564102564103,0,-1629.18863527125
"302",1.02564102564103,0,-1621.24624476486
"303",1.02564102564103,0,-1634.09250472934
"304",1.07692307692308,0,-1626.23973279657
"305",1.07692307692308,0,-1630.93947239452
"306",1.07692307692308,0,-1633.99424436217
"307",1.12820512820513,0,-1623.77134893104
"308",1.12820512820513,0,-1633.49891716288
"309",1.12820512820513,0,-1633.58350599201
"310",1.17948717948718,0,-1635.60714019858
"311",1.17948717948718,0,-1633.94571885208
"312",1.17948717948718,0,-1634.81426211878
"313",1.23076923076923,0,-1632.33696791444
"314",1.23076923076923,0,-1635.75822203468
"315",1.23076923076923,0,-1633.85312899359
"316",1.28205128205128,0,-1635.7358681128
"317",1.28205128205128,0,-1639.69575364806
"318",1.28205128205128,0,-1638.19706143772
"319",1.33333333333333,0,-1635.11819610775
"320",1.33333333333333,0,-1641.00387034529
"321",1.33333333333333,0,-1639.63180945241
"322",1.38461538461538,0,-1640.72575692891
"323",1.38461538461538,0,-1637.60093630847
"324",1.38461538461538,0,-1637.94906916832
"325",1.43589743589744,0,-1639.06639667675
"326",1.43589743589744,0,-1636.51331994595
"327",1.43589743589744,0,-1633.07923626077
"328",1.48717948717949,0,-1638.52589619576
"329",1.48717948717949,0,-1639.22856707358
"330",1.48717948717949,0,-1639.70448126267
"331",1.53846153846154,0,-1639.47846446786
"332",1.53846153846154,0,-1637.87352745958
"333",1.53846153846154,0,-1634.30621250814
"334",1.58974358974359,0,-1634.3625588572
"335",1.58974358974359,0,-1639.0526531298
"336",1.58974358974359,0,-1640.48862158304
"337",1.64102564102564,0,-1639.4987930301
"338",1.64102564102564,0,-1630.41572636658
"339",1.64102564102564,0,-1633.07974718071
"340",1.69230769230769,0,-1638.22896884007
"341",1.69230769230769,0,-1637.26030599312
"342",1.69230769230769,0,-1633.80457023769
"343",1.74358974358974,0,-1636.13541788475
"344",1.74358974358974,0,-1638.66934629768
"345",1.74358974358974,0,-1634.92743155592
"346",1.79487179487179,0,-1634.31551818625
"347",1.79487179487179,0,-1635.37478226734
"348",1.79487179487179,0,-1634.86707281867
"349",1.84615384615385,0,-1633.19751735294
"350",1.84615384615385,0,-1638.55180709237
"351",1.84615384615385,0,-1639.61210210026
"352",1.8974358974359,0,-1639.43428891644
"353",1.8974358974359,0,-1631.27073068975
"354",1.8974358974359,0,-1635.77249106833
"355",1.94871794871795,0,-1634.21670217554
"356",1.94871794871795,0,-1633.83702035658
"357",1.94871794871795,0,-1629.65485365763
"358",2,0,-1632.51947957523
"359",2,0,-1632.87524199561
"360",2,0,-1636.69228091656
"361",0,0.0512820512820513,-1675.72837976264
"362",0,0.0512820512820513,-1686.95248116872
"363",0,0.0512820512820513,-1678.25423363199
"364",0.0512820512820513,0.0512820512820513,-1652.0737994338
"365",0.0512820512820513,0.0512820512820513,-1647.4760101631
"366",0.0512820512820513,0.0512820512820513,-1653.89516924795
"367",0.102564102564103,0.0512820512820513,-1635.75839127102
"368",0.102564102564103,0.0512820512820513,-1632.31387787881
"369",0.102564102564103,0.0512820512820513,-1632.8229903427
"370",0.153846153846154,0.0512820512820513,-1621.46902209327
"371",0.153846153846154,0.0512820512820513,-1621.13416543905
"372",0.153846153846154,0.0512820512820513,-1616.28226519227
"373",0.205128205128205,0.0512820512820513,-1606.95581690045
"374",0.205128205128205,0.0512820512820513,-1611.46646755459
"375",0.205128205128205,0.0512820512820513,-1611.82435611204
"376",0.256410256410256,0.0512820512820513,-1606.22454276408
"377",0.256410256410256,0.0512820512820513,-1606.08758866059
"378",0.256410256410256,0.0512820512820513,-1606.50287497741
"379",0.307692307692308,0.0512820512820513,-1602.32884977119
"380",0.307692307692308,0.0512820512820513,-1602.40194274143
"381",0.307692307692308,0.0512820512820513,-1603.11552148583
"382",0.358974358974359,0.0512820512820513,-1601.8677585757
"383",0.358974358974359,0.0512820512820513,-1601.35572053327
"384",0.358974358974359,0.0512820512820513,-1598.98235976579
"385",0.41025641025641,0.0512820512820513,-1599.73001645248
"386",0.41025641025641,0.0512820512820513,-1599.883021969
"387",0.41025641025641,0.0512820512820513,-1601.17277701905
"388",0.461538461538462,0.0512820512820513,-1599.50230007553
"389",0.461538461538462,0.0512820512820513,-1599.93535000125
"390",0.461538461538462,0.0512820512820513,-1600.65836983695
"391",0.512820512820513,0.0512820512820513,-1600.71219794564
"392",0.512820512820513,0.0512820512820513,-1600.85711233952
"393",0.512820512820513,0.0512820512820513,-1601.36807937825
"394",0.564102564102564,0.0512820512820513,-1602.71554541704
"395",0.564102564102564,0.0512820512820513,-1603.35075982112
"396",0.564102564102564,0.0512820512820513,-1603.8596041331
"397",0.615384615384615,0.0512820512820513,-1604.22384352011
"398",0.615384615384615,0.0512820512820513,-1605.60602354916
"399",0.615384615384615,0.0512820512820513,-1604.72902296028
"400",0.666666666666667,0.0512820512820513,-1606.81112888339
"401",0.666666666666667,0.0512820512820513,-1607.90970438994
"402",0.666666666666667,0.0512820512820513,-1606.45847165072
"403",0.717948717948718,0.0512820512820513,-1608.49781588302
"404",0.717948717948718,0.0512820512820513,-1609.35085007276
"405",0.717948717948718,0.0512820512820513,-1608.66363855861
"406",0.769230769230769,0.0512820512820513,-1611.19287659017
"407",0.769230769230769,0.0512820512820513,-1611.5882078652
"408",0.769230769230769,0.0512820512820513,-1611.33880862263
"409",0.82051282051282,0.0512820512820513,-1612.05309374881
"410",0.82051282051282,0.0512820512820513,-1611.8891860722
"411",0.82051282051282,0.0512820512820513,-1612.23098004999
"412",0.871794871794872,0.0512820512820513,-1614.84252648384
"413",0.871794871794872,0.0512820512820513,-1615.80572588848
"414",0.871794871794872,0.0512820512820513,-1614.13175203227
"415",0.923076923076923,0.0512820512820513,-1619.23864506177
"416",0.923076923076923,0.0512820512820513,-1618.22430554852
"417",0.923076923076923,0.0512820512820513,-1617.79536296937
"418",0.974358974358974,0.0512820512820513,-1618.22047474638
"419",0.974358974358974,0.0512820512820513,-1617.64809971035
"420",0.974358974358974,0.0512820512820513,-1621.5909126818
"421",1.02564102564103,0.0512820512820513,-1621.04312590877
"422",1.02564102564103,0.0512820512820513,-1620.10310876986
"423",1.02564102564103,0.0512820512820513,-1620.25475729181
"424",1.07692307692308,0.0512820512820513,-1623.81857442904
"425",1.07692307692308,0.0512820512820513,-1619.12464894194
"426",1.07692307692308,0.0512820512820513,-1618.17204372222
"427",1.12820512820513,0.0512820512820513,-1626.91215297528
"428",1.12820512820513,0.0512820512820513,-1621.59885443146
"429",1.12820512820513,0.0512820512820513,-1623.3356015076
"430",1.17948717948718,0.0512820512820513,-1627.0423949565
"431",1.17948717948718,0.0512820512820513,-1625.98798669547
"432",1.17948717948718,0.0512820512820513,-1625.53780332725
"433",1.23076923076923,0.0512820512820513,-1622.18122513088
"434",1.23076923076923,0.0512820512820513,-1624.90494947394
"435",1.23076923076923,0.0512820512820513,-1620.60097728913
"436",1.28205128205128,0.0512820512820513,-1625.67859727146
"437",1.28205128205128,0.0512820512820513,-1625.69562785833
"438",1.28205128205128,0.0512820512820513,-1627.03536908067
"439",1.33333333333333,0.0512820512820513,-1630.66779361685
"440",1.33333333333333,0.0512820512820513,-1629.969957566
